district_id,district_name,rest_world_unknown_pct,selected_vote_pct
01140101,Övra Runby,15.01602949707253,8.960915157292659
01140102,Mälaren,10.520801104398519,5.391120507399577
01140120,Edssjön,19.406198114391383,8.141321044546851
01140121,Nedra Runby,17.68073716328589,11.328976034858387
01140126,Prästgårdsmarken,18.486492006732096,13.427947598253276
01140203,Folkparken,24.422196669071493,10.886319845857418
01140204,Fysingen,27.311428353256307,8.972972972972974
01140206,Sigma,40.53177644069971,24.86263736263736
01140207,Odenslunda Södra,16.8723704984287,6.944444444444445
01140209,Smedby Norra,34.132509124537584,17.478991596638654
01140210,Väsbyskogen Västra,32.46991552046551,6.91114245416079
01140211,Skälby,27.9723842323164,12.295973884657236
01140212,Smedby Södra,26.771572689165033,12.771084337349398
01140218,Korpkulla,29.10603262102454,12.183235867446394
01140219,Ekebo,32.83243706069617,18.958031837916064
01140223,Brunnby,19.785840197257563,8.080808080808081
01140224,Apoteksskogen,34.47246758075402,14.592933947772657
01140225,Väsbyskogen Östra,35.66594548778184,25.163826998689384
01140231,Vilunda,25.876839057962474,8.362369337979095
01140232,Fyrklövern Norra,35.61097418489291,14.126984126984127
01140233,Fyrklövern Södra,43.791427274421146,24.399260628465804
01140313,Odenslunda Norra,20.671675652811988,7.755102040816326
01140314,Norra Bollstanäs,8.145354842798563,2.8831562974203337
01140315,Sjukyrkoberget,12.108385371944106,3.7661050545094152
01140316,Grimstaby,12.173571821776989,5.11921458625526
01140317,Gamla Bollstanäs,10.533970329271591,3.736479842674533
01140318,Frestaby,10.39148450566812,2.903225806451613
01140327,Östra Frestaby-Ekeby,12.222541146583612,4.8270313757039425
01150101,1 Vallentuna västra,6.1294187784283585,3.3665835411471323
01150102,2 Markim-Orkesta,3.8170029741967206,3.392705682782019
01150103,3 Hammarbacken N,7.290763696559756,3.198781416603199
01150104,4 Hammarbacken S,11.703591421699917,5.3886925795053005
01150105,5 Ormsta N,7.460085305449605,3.5987748851454824
01150106,6 Vallentuna nordöstra,7.417234060689183,3.434867141931303
01150107,7 Norrgården-Sörgården,12.863691587758082,6.391478029294274
01150108,8 Vallentuna C,10.59731192995903,6.244864420706656
01150109,9 Ormsta S,17.79993977955522,9.055727554179567
01150110,10 Lovisedal,5.50452256357994,1.8691588785046729
01150111,11 Karlberg,6.036401973654877,3.48993288590604
01150112,12 Vada-Angarn-Össeby,4.1998042488161245,3.2710280373831777
01150113,13 Bällsta S,6.472501057600258,1.408450704225352
01150114,14 Bällsta V,7.318336966151034,4.192355117139334
01150115,15 Vallentuna sydöstra,5.190821116472271,2.682926829268293
01150116,16 Garn,4.397933976732509,3.4554973821989527
01150117,17 Kårsta-Frösunda,4.4316990795396345,5.016181229773463
01170001,Berga NV,10.80528297451482,6.9384215091066785
01170002,Berga SÖ,13.107057902660982,7.492795389048991
01170003,Björksättra-Högsättra,8.261137476908424,5.052430886558628
01170004,Brevik,4.185561144217917,1.6483516483516483
01170005,Flaxenvik-Grindmossen,6.778807632254554,2.981895633652822
01170006,Fredsborg,7.032315479998537,3.4777303233679073
01170007,Hacksta V,20.53069056593113,14.046822742474916
01170008,Hacksta Ö,13.602049384657464,6.335797254487856
01170009,Ljusterö,3.842675621015733,3.188775510204082
01170010,Margretelund,4.519240301716477,2.3848684210526314
01170011,Roslagskulla-Åsättra,3.927383582535275,3.5900783289817233
01170012,Runö,13.888424011215383,6.379310344827586
01170013,Rydbo,4.334151127071051,1.937984496124031
01170014,Skånsta,6.569266640061841,3.116651825467498
01170015,Skärgårdsstad,4.994814409888422,2.31935771632471
01170016,Smedby,6.230666808703736,4.448938321536906
01170017,Svinninge,4.516895994366813,1.8645121193287757
01170018,Säby,5.497189843208861,3.4140969162995596
01170019,Söra N,8.864954622694192,3.2967032967032965
01170020,Söra S,12.750647220051865,8.40751730959446
01170021,Tråsättra,6.660107362060178,4.790823211875844
01170022,Tuna,8.013450010065151,2.8019323671497585
01170023,Åkerstorp,7.335673841616615,6.309420916162489
01170024,Österskär V,4.769163601996418,2.0592020592020592
01170025,Österskär Ö,2.9056390271232426,1.5224358974358974
01200101,Värmdö 1 Saltarö,4.454529708331785,3.0991735537190084
01200102,Värmdö 2 Strömma m.fl.,4.053102460108716,2.931937172774869
01200103,Värmdö 3 Ängsvik,3.6193797517140496,5.174234424498416
01200104,Värmdö 4 Hemmesta,8.349261751065963,7.195121951219512
01200105,Värmdö 5 Vik,3.452846932302125,1.7514595496246872
01200106,Värmdö 6 Kopparmora,3.085550155158439,3.3333333333333335
01200107,Värmdö 7 Haghulta Kolvik,3.5548145890574463,3.3206831119544593
01200108,Värmdö 8 Herrviksnäs m.fl.,3.779690924547179,2.366863905325444
01200109,Värmdö 9 Torsby,6.118816865385868,4.18041804180418
01200301,Djurö 1 Vindö,4.567807531655198,3.357314148681055
01200302,Djurö 2 Björkås Barnvik,6.093570654850087,4.850746268656716
01200303,Djurö 3 Stavsnäs,8.514612731590903,6.646825396825397
01200501,Ingarö 1 Lillängsdal Fagerholm,5.1173804986853195,4.072398190045249
01200502,Ingarö 2 Säby Eknäs,4.063612170658739,2.816901408450704
01200503,Ingarö 3 Ingaröstrand,3.2589526835252647,2.200303490136571
01200504,Ingarö 4 Klacknäset,4.1397318196086115,5.00544069640914
01200505,Ingarö 5 Lämshaga Brunn,5.833326662697636,5.027322404371585
01200601,Gustavsberg 1 Lugnet,6.889557890344676,7.60233918128655
01200602,Gustavsberg 2 Tallåsen,5.881158369683979,4.704463208685163
01200603,Gustavsberg 3 Munkmora,15.303388950365061,12.050534499514091
01200604,Gustavsberg 4 Höjdhagen m.fl.,4.368888314371761,4.5358649789029535
01200605,Gustavsberg 5 Ösbydalen m.fl.,5.7093204777381485,6.451612903225806
01200606,Gustavsberg 6 Ormingelandet,3.592022283255162,1.988950276243094
01200607,Gustavsberg 7 Farsta och Hamnområdet,5.530211464438251,4.20353982300885
01200608,Gustavsberg 8 Mörtnäs,4.296253204616943,2.170138888888889
01200609,Gustavsberg 9 Mölnvik m.fl.,4.801421145192243,4.956896551724138
01200610,Gustavsberg 10 Charlottendal m.fl.,6.695021527731538,4.708520179372197
01200611,Gustavsberg 11 Porslinskvarteren S,8.244868189836813,4.970414201183432
01200612,Gustavsberg 12 Porslinskvarteren N,8.416037883858047,5.430932703659977
01200613,Gustavsberg 13 Hästhagen,6.030081507248509,10.107816711590296
01230201,Norra Barkarby,23.584981726771247,12.717536813922356
01230202,Södra Barkarby,15.596751654220055,7.503607503607504
01230203,Skälby Gård Västra,14.763876444070608,6.774193548387097
01230204,Orgona,14.870227603312907,7.03953712632594
01230205,Neptuni,17.44790205574082,9.455587392550143
01230206,Skälby Gård Östra,15.320344311302046,5.7835820895522385
01230207,Barkarbystaden,36.390878566879906,25.123639960435213
01230208,Kalvshälla,29.239666600546983,19.431643625192013
01230209,Karlslund,33.272934728856676,16.402116402116402
01230210,Dragonbacken,35.06784300688496,22.938530734632682
01230211,Ålsta,36.01067984531616,25.821596244131456
01230212,Kyrkbyn,28.236621343809706,13.602941176470589
01230213,Västra Barkarbystaden,32.879867004772805,19.51219512195122
01230306,Fjällen,10.445973447312,4.636363636363637
01230307,Sandvik,12.960239184362802,6.168080185042405
01230308,Hummelmora,15.184983252536439,7.173725151253241
01230309,Centrala Viksjö Södra,14.474890143079165,5.800293685756241
01230310,Lund,11.378010158128548,8.072653884964682
01230311,Fastebol,12.304176153284207,6.315789473684211
01230312,Centrala Viksjö Norra,21.299140651850422,12.439418416801292
01230313,Högby,16.542788801504397,6.527196652719665
01230413,Tallbohov,49.24417164969785,38.095238095238095
01230414,Olovslund,14.891741457911186,7.568807339449541
01230415,Norra Vibblaby,30.540252924068675,13.023782559456398
01230416,Västerby,27.097796666281166,12.541993281075028
01230417,Grönvreten,15.110749653990679,6.021505376344086
01230418,Snapphanen,46.5671675105488,34.48275862068966
01230419,Norra Nyberg,49.58496885192908,26.027397260273972
01230420,Hammaren,36.53961301901443,20.87912087912088
01230421,Dackevägen,46.06122596770292,27.613636363636363
01230422,Centrala Jakobsberg,44.25987990296435,19.346049046321525
01230423,Södra Aspnäs,43.46959609889024,16.295264623955433
01230424,Ekedal,39.44878752596696,18.349514563106798
01230425,Norra Aspnäs,37.4543887322849,16.18705035971223
01230426,Vattmyra,21.64545675367406,11.416666666666666
01230427,Berghem/Polhem,23.935500448804596,7.173601147776184
01230428,Södra Vibblaby,40.80407159279624,18.95910780669145
01230429,Södra Nyberg,43.5217440035091,31.643356643356643
01230430,Riddarparken,43.469574655444724,28.365384615384617
01230528,Lädersättra,24.11350300311395,8.604206500956023
01230529,Centrala Kallhäll,17.023160672658793,10.222222222222221
01230530,Emaljvägen/Kopparvägen,24.080234270364883,12.61609907120743
01230531,Ulvsättra/Skogstorp,23.342394714816184,12.016021361815755
01230532,Kolarängen/Villastaden,14.981626745858854,11.39240506329114
01230533,Stäket,10.848425892807803,3.8271604938271606
01230534,Bolinder strand,9.848203526568131,3.780313837375178
01230535,Lilla Ulvsättra,33.66280209706284,28.111273792093705
01250101,Munsö,4.185176894642134,3.3834586466165413
01250201,Adelsö,7.019703720061299,3.8535645472061657
01250301,Ekerö 1 Ekebyhov-Gällstaö,6.632644414130816,3.767123287671233
01250302,Ekerö 2 Ekebyhov Västra,8.850433273341176,6.863679694947569
01250303,Ekerö 3 Ekerö-Väsby,4.854555979056619,2.644628099173554
01250304,Ekerö 4 Träkvista-Skärvik,2.9949012863723166,1.8656716417910448
01250305,Ekerö 5 Närlunda,8.143787930873872,2.08955223880597
01250306,Ekerö 6 Älvnäs,5.6796142518622235,2.6244343891402715
01250307,Ekerö 7 Sundby Helgö,4.319269071867898,2.7799841143764894
01250308,Ekerö 8 Ekerö centrum,7.787984858753147,5.546995377503852
01250309,Ekerö 9 Träkvista,5.78104290494933,2.962962962962963
01250310,Ekerö 10 Sandudden,3.10951433104249,1.490947816826411
01250401,Lovö,3.9331655265177314,5.0670640834575265
01250901,Färingsö 1 Färingsö Norra,5.233464329490312,5.027932960893855
01250902,Färingsö 2 Färentuna Hilleshög,5.8643662479260845,4.506437768240343
01250903,Färingsö 3 Svartsjö Sånga,4.695699342003568,6.527777777777778
01250904,Färingsö 4 Stenhamra Södra,3.961075563211439,2.883799830364716
01250905,Färingsö 5 Stenhamra Norra,4.893992778282386,4.71441523118767
01250906,Färingsö 6 Skå,5.103973524224728,4.317269076305221
01260103,Fridhem,5.824283947445347,3.9247751430907605
01260105,Vistaberg,7.648660073088668,5.487364620938628
01260106,Stuvsta centrum,9.876090551980807,7.331042382588774
01260107,Myrängen-Högmora,10.499126488249825,5.676328502415459
01260108,Stuvsta gård,8.539392170891176,8.871851040525739
01260109,Kynäs,7.401115071552508,5.59593023255814
01260110,Kvarnbergsplan,14.08564220867964,7.628128724672229
01260116,Sörskogen,9.928039880871681,6.108897742363878
01260117,Balingsnäs,7.10590591239762,4.316546762589928
01260119,Segersminne,6.581338793390154,6.404494382022472
01260120,Stensängen,5.694799542245398,5.3056516724336795
01260122,Gladökvarn-Lissma-Ådran,5.005348184012156,5.145797598627787
01260123,Vårdkasen-Rosenhill,11.768563652219447,5.47945205479452
01260124,Skogsäng,5.531456143944596,4.7368421052631575
01260125,Milsten,6.140923531391939,4.41696113074205
01260126,Källbrink,7.361938701427634,4.015670910871695
01260127,Tomtberga norra,14.671611397124474,11.570247933884298
01260128,Tomtberga södra,16.59086271817154,9.743589743589743
01260129,Storängen,13.336756593939375,9.245742092457421
01260130,Huddinge centrum,15.471215729843868,14.545454545454545
01260131,Hörningsnäs,6.644259170806759,6.226765799256506
01260132,Paradisbacken,10.075979553507523,9.064039408866995
01260133,Solgård,11.34836846040326,7.644444444444445
01260134,Fullersta gård,6.9930211821581,5.837837837837838
01260135,Fullersta torg,9.161693064336376,7.368421052631579
01260136,Snättringe gård,6.397573407786649,5.077720207253886
01260201,Vidja-Mellansjö-Svartvik,8.861049850844289,3.9553752535496955
01260202,Hammartorp,13.90583340192776,10.051282051282051
01260203,Trångsund centrum,19.017286162760534,12.843224092116918
01260204,Stortorp,7.774207255517885,4.7664442326024785
01260205,Västra Skogås norra,26.860483806668768,16.28787878787879
01260206,Västra Skogås centrum,36.662167270885355,25.148279952550414
01260207,Västra Skogås västra,32.15407659712772,25.53191489361702
01260208,Västra Skogås södra,31.111417658125138,17.50465549348231
01260209,Östra Skogås centrala,15.945847767822949,9.649122807017545
01260210,Östra Skogås norra,12.895993904766375,9.751609935602575
01260211,Östra Skogås södra,10.732723516953053,8.71694417238002
01260212,Fållan-Nytorp,8.03995308460346,6.481481481481482
01260213,Sjöängen,6.105560632404698,3.2598274209012463
01260214,Länna,14.241477863465626,6.472919418758257
01260301,Smista östra,13.435748512433998,8.782608695652174
01260302,Segeltorp centrum,6.49024250121789,6.238361266294227
01260303,Kråkvik-Kungens kurva,12.60384104122048,7.6923076923076925
01260304,Vårby gård östra,41.41486770621761,33.04130162703379
01260305,Vårby gård centrum,29.8404255230484,34.0878828229028
01260306,Vårby gård,31.08963518068427,22.532894736842106
01260307,Haga,42.80503965266062,26.33863965267728
01260308,Myrstuguberget,29.891702006162497,21.30841121495327
01260309,Utsälje centrala,6.972399727363075,5.616850551654965
01260310,Utsälje,8.582779755069442,5.105762217359591
01260311,Juringe,12.787281716144445,7.540056550424128
01260312,Smista västra,14.763339713662827,9.55794504181601
01260313,Vårby gård västra,30.701347019048054,31.074380165289256
01260402,Grantorp norra,44.45965991358753,34.487734487734485
01260403,Grantorp östra,41.45325730044189,23.7012987012987
01260404,Flemingsberg norra,45.1064154019303,26.72811059907834
01260405,Visättra östra,40.83728097945994,26.615384615384617
01260406,Visättra västra,38.305572821448685,32.72506082725061
01260407,Visättra,30.235077060873756,27.59170653907496
01260408,Kästa,21.398312641879475,15.384615384615385
01260409,Flemingsberg södra,46.503402071646974,35.91989987484355
01260410,Visättra-Björnkulla,29.826969348199555,27.292576419213972
01260411,Glömsta södra,16.094684524924187,12.338425381903642
01260412,Glömsta norra,17.83201013250274,9.431524547803617
01270001,N Lanthem,12.136516950360795,3.801169590643275
01270002,Tullinge C,12.413102258053366,9.124537607891492
01270003,Ö Tullingeberg,14.99692919157101,12.05607476635514
01270004,Tullinge Parkhem,8.254033533645432,5.258899676375404
01270005,G:a Tullingeberg,11.01242645070869,8.46774193548387
01270006,Tullinge Gård,10.044681987355819,8.433734939759036
01270007,Banslätt/Römossen,10.774575374779605,7.18232044198895
01270008,Tullingeskog,7.930065860863789,4.013761467889908
01270009,Riksten N,14.478229923232139,12.448559670781894
01270010,S Lanthem,5.914025484035649,4.421052631578948
01270011,Tullinge Villastad N,9.215070104142098,5.195989061075661
01270012,Tullinge Villastad S,13.92860398486076,5.172413793103448
01270013,Riksten S,11.759353075805238,7.871720116618076
01270020,Segersjö,11.116470710125858,10.195530726256983
01270021,Kvarnsjön,16.78760864444499,9.523809523809524
01270022,Tumba C,24.081346345173596,12.64367816091954
01270023,Broängen,16.326970531642274,10.452586206896552
01270024,Uttran,10.177223427491782,4.3893129770992365
01270025,Kassmyra,17.82997188833848,11.390134529147982
01270026,Skäcklinge,19.59847080089755,10.256410256410257
01270028,Storvreten V,35.400154907266135,26.408010012515646
01270029,Storvreten S,30.800131900890715,21.512151215121513
01270030,Storvreten Ö,31.388800234978046,21.106259097525474
01270031,Vretarna/Tumba bruk,16.6255983915046,11.511423550087873
01270032,Tuna,24.99051284267522,18.078381795195956
01270033,Nackdala/Solhöjden,20.552627619045357,10.160965794768611
01270034,Kulturen Tumba Park,19.895472611107245,9.27536231884058
