region_code,region_name,level,category_code,category_name,source_category_code,published_count,population_denominator,pct_all_residents,reference_date,source_url
0120,Värmdö,municipality,PARENT_BOTH_FOREIGN,Nacidos en Suecia · ambos padres fuera,4,1895,46601,4.066436,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0120,Värmdö,municipality,PARENT_MIXED,Nacidos en Suecia · un padre fuera,5,4822,46601,10.347417,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0120,Värmdö,municipality,PARENT_BOTH_SWEDEN,Nacidos en Suecia · ambos padres en Suecia,6,33207,46601,71.258128,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0123,Järfälla,municipality,PARENT_FOREIGN_BORN,Nacidos fuera de Suecia,08,33380,90180,37.014859,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0123,Järfälla,municipality,PARENT_BOTH_FOREIGN,Nacidos en Suecia · ambos padres fuera,4,13673,90180,15.161898,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0123,Järfälla,municipality,PARENT_MIXED,Nacidos en Suecia · un padre fuera,5,8219,90180,9.113994,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0123,Järfälla,municipality,PARENT_BOTH_SWEDEN,Nacidos en Suecia · ambos padres en Suecia,6,34906,90180,38.707030,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0125,Ekerö,municipality,PARENT_FOREIGN_BORN,Nacidos fuera de Suecia,08,3990,29062,13.729268,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0125,Ekerö,municipality,PARENT_BOTH_FOREIGN,Nacidos en Suecia · ambos padres fuera,4,1093,29062,3.760925,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0125,Ekerö,municipality,PARENT_MIXED,Nacidos en Suecia · un padre fuera,5,2959,29062,10.181681,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0125,Ekerö,municipality,PARENT_BOTH_SWEDEN,Nacidos en Suecia · ambos padres en Suecia,6,21018,29062,72.321244,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0126,Huddinge,municipality,PARENT_FOREIGN_BORN,Nacidos fuera de Suecia,08,36143,114686,31.514745,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0126,Huddinge,municipality,PARENT_BOTH_FOREIGN,Nacidos en Suecia · ambos padres fuera,4,13640,114686,11.893344,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0126,Huddinge,municipality,PARENT_MIXED,Nacidos en Suecia · un padre fuera,5,11240,114686,9.800673,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0126,Huddinge,municipality,PARENT_BOTH_SWEDEN,Nacidos en Suecia · ambos padres en Suecia,6,53667,114686,46.794726,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0127,Botkyrka,municipality,PARENT_FOREIGN_BORN,Nacidos fuera de Suecia,08,43024,96750,44.469251,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0127,Botkyrka,municipality,PARENT_BOTH_FOREIGN,Nacidos en Suecia · ambos padres fuera,4,17912,96750,18.513695,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0127,Botkyrka,municipality,PARENT_MIXED,Nacidos en Suecia · un padre fuera,5,8179,96750,8.453747,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0127,Botkyrka,municipality,PARENT_BOTH_SWEDEN,Nacidos en Suecia · ambos padres en Suecia,6,27633,96750,28.561240,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0128,Salem,municipality,PARENT_FOREIGN_BORN,Nacidos fuera de Suecia,08,4198,17370,24.168106,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0128,Salem,municipality,PARENT_BOTH_FOREIGN,Nacidos en Suecia · ambos padres fuera,4,2001,17370,11.519862,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0128,Salem,municipality,PARENT_MIXED,Nacidos en Suecia · un padre fuera,5,1777,17370,10.230282,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0128,Salem,municipality,PARENT_BOTH_SWEDEN,Nacidos en Suecia · ambos padres en Suecia,6,9395,17370,54.087507,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0136,Haninge,municipality,PARENT_FOREIGN_BORN,Nacidos fuera de Suecia,08,30935,101408,30.505483,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0136,Haninge,municipality,PARENT_BOTH_FOREIGN,Nacidos en Suecia · ambos padres fuera,4,11031,101408,10.877840,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0136,Haninge,municipality,PARENT_MIXED,Nacidos en Suecia · un padre fuera,5,9675,101408,9.540667,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0136,Haninge,municipality,PARENT_BOTH_SWEDEN,Nacidos en Suecia · ambos padres en Suecia,6,49767,101408,49.076010,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0138,Tyresö,municipality,PARENT_FOREIGN_BORN,Nacidos fuera de Suecia,08,9041,49645,18.211300,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0138,Tyresö,municipality,PARENT_BOTH_FOREIGN,Nacidos en Suecia · ambos padres fuera,4,3060,49645,6.163763,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0138,Tyresö,municipality,PARENT_MIXED,Nacidos en Suecia · un padre fuera,5,5574,49645,11.227717,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0138,Tyresö,municipality,PARENT_BOTH_SWEDEN,Nacidos en Suecia · ambos padres en Suecia,6,31972,49645,64.401249,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0139,Upplands-Bro,municipality,PARENT_FOREIGN_BORN,Nacidos fuera de Suecia,08,11531,33333,34.593346,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
0139,Upplands-Bro,municipality,PARENT_BOTH_FOREIGN,Nacidos en Suecia · ambos padres fuera,4,4298,33333,12.894129,2025-12-31,https://www.statistikdatabasen.scb.se/pxweb/sv/ssd/START__BE__BE0101__BE0101Q/UtlSvBakgFinCKM/
