district_id,district_name,municipality_name,county_name,election_year,population_year,rest_world_unknown_pct,sv_vote_pct,votes_s,votes_v,valid_votes,rest_world_unknown_residents_estimated,birth_population_estimated,coverage_quality,election_status
01150113,13 Bällsta S,Vallentuna,Stockholm,2026,2025,6.472501057600258,16.818558409279206,186,17,1207,136.364964,2106.835716,high_coverage,provisional
01150114,14 Bällsta V,Vallentuna,Stockholm,2026,2025,7.318336966151034,26.017262638717632,354,68,1622,175.052439,2391.970195,high_coverage,provisional
01150115,15 Vallentuna sydöstra,Vallentuna,Stockholm,2026,2025,5.190821116472271,23.414634146341463,255,33,1230,90.858379,1750.366213,high_coverage,provisional
01150116,16 Garn,Vallentuna,Stockholm,2026,2025,4.397933976732509,23.24607329842932,189,33,955,72.109212,1639.61561,high_coverage,provisional
01150117,17 Kårsta-Frösunda,Vallentuna,Stockholm,2026,2025,4.4316990795396345,19.983818770226538,185,62,1236,101.437828,2288.915068,high_coverage,provisional
01170001,Berga NV,Österåker,Stockholm,2026,2025,10.80528297451482,37.0338248048569,347,80,1153,192.911732,1785.346413,high_coverage,provisional
01170002,Berga SÖ,Österåker,Stockholm,2026,2025,13.107057902660982,37.56003842459174,313,78,1041,215.376623,1643.211044,high_coverage,provisional
01170003,Björksättra-Högsättra,Österåker,Stockholm,2026,2025,8.261137476908424,30.505243088655863,267,53,1049,116.01822,1404.385538,high_coverage,provisional
01170004,Brevik,Österåker,Stockholm,2026,2025,4.185561144217917,19.309262166405023,225,21,1274,85.483857,2042.35117,high_coverage,provisional
01170005,Flaxenvik-Grindmossen,Österåker,Stockholm,2026,2025,6.778807632254554,23.003194888178914,188,28,939,128.209498,1891.328165,high_coverage,provisional
01170006,Fredsborg,Österåker,Stockholm,2026,2025,7.032315479998537,21.41549725442343,294,57,1639,229.454328,3262.856006,high_coverage,provisional
01170007,Hacksta V,Österåker,Stockholm,2026,2025,20.53069056593113,47.82608695652174,303,126,897,451.830688,2200.757381,high_coverage,provisional
01170008,Hacksta Ö,Österåker,Stockholm,2026,2025,13.602049384657464,37.17001055966209,292,60,947,263.795026,1939.377064,high_coverage,provisional
01170009,Ljusterö,Österåker,Stockholm,2026,2025,3.842675621015733,22.066326530612244,296,50,1568,84.999864,2211.996858,high_coverage,provisional
01170010,Margretelund,Österåker,Stockholm,2026,2025,4.519240301716477,19.07894736842105,203,29,1216,93.822082,2076.058712,high_coverage,provisional
01170011,Roslagskulla-Åsättra,Österåker,Stockholm,2026,2025,3.927383582535275,23.9556135770235,312,55,1532,114.896374,2925.519537,high_coverage,provisional
01170012,Runö,Österåker,Stockholm,2026,2025,13.888424011215383,35.0,332,74,1160,273.639923,1970.273393,high_coverage,provisional
01170013,Rydbo,Österåker,Stockholm,2026,2025,4.334151127071051,17.829457364341085,164,20,1032,65.515911,1511.620363,high_coverage,provisional
01170014,Skånsta,Österåker,Stockholm,2026,2025,6.569266640061841,25.734639358860196,254,35,1123,122.396164,1863.163283,high_coverage,provisional
01170015,Skärgårdsstad,Österåker,Stockholm,2026,2025,4.994814409888422,16.146297948260482,155,26,1121,70.748383,1416.436672,high_coverage,provisional
01170016,Smedby,Österåker,Stockholm,2026,2025,6.230666808703736,28.918099089989887,242,44,989,112.310481,1802.543523,high_coverage,provisional
01170017,Svinninge,Österåker,Stockholm,2026,2025,4.516895994366813,15.226848974518335,215,30,1609,108.504291,2402.187058,high_coverage,provisional
01170018,Säby,Österåker,Stockholm,2026,2025,5.497189843208861,21.916299559471366,168,31,908,79.524357,1446.636541,high_coverage,provisional
01170019,Söra N,Österåker,Stockholm,2026,2025,8.864954622694192,29.876373626373628,387,48,1456,252.98447,2853.759334,high_coverage,provisional
01170020,Söra S,Österåker,Stockholm,2026,2025,12.750647220051865,38.77349159248269,307,85,1011,140.993912,1105.778472,high_coverage,provisional
01170021,Tråsättra,Österåker,Stockholm,2026,2025,6.660107362060178,29.89203778677463,372,71,1482,139.54878,2095.29325,high_coverage,provisional
01170022,Tuna,Österåker,Stockholm,2026,2025,8.013450010065151,29.082125603864736,272,29,1035,186.812076,2331.231564,high_coverage,provisional
01170023,Åkerstorp,Österåker,Stockholm,2026,2025,7.335673841616615,32.92999135695765,308,73,1157,143.52491,1956.533416,high_coverage,provisional
01170024,Österskär V,Österåker,Stockholm,2026,2025,4.769163601996418,18.98326898326898,263,32,1554,87.486713,1834.424656,high_coverage,provisional
01170025,Österskär Ö,Österåker,Stockholm,2026,2025,2.9056390271232426,16.185897435897434,183,19,1248,57.206165,1968.798067,high_coverage,provisional
01200101,Värmdö 1 Saltarö,Värmdö,Stockholm,2026,2025,4.454529708331785,23.450413223140497,197,30,968,68.462718,1536.923592,high_coverage,provisional
01200102,Värmdö 2 Strömma m.fl.,Värmdö,Stockholm,2026,2025,4.053102460108716,17.905759162303664,143,28,955,62.968522,1553.588211,high_coverage,provisional
01200103,Värmdö 3 Ängsvik,Värmdö,Stockholm,2026,2025,3.6193797517140496,22.914466737064412,168,49,947,50.812005,1403.887088,high_coverage,provisional
01200104,Värmdö 4 Hemmesta,Värmdö,Stockholm,2026,2025,8.349261751065963,36.951219512195124,244,59,820,130.420028,1562.054609,high_coverage,provisional
01200105,Värmdö 5 Vik,Värmdö,Stockholm,2026,2025,3.452846932302125,22.51876563803169,249,21,1199,63.914312,1851.061262,high_coverage,provisional
01200106,Värmdö 6 Kopparmora,Värmdö,Stockholm,2026,2025,3.085550155158439,25.784313725490197,229,34,1020,49.547949,1605.805983,high_coverage,provisional
01200107,Värmdö 7 Haghulta Kolvik,Värmdö,Stockholm,2026,2025,3.5548145890574463,24.667931688804554,225,35,1054,60.974314,1715.260036,high_coverage,provisional
01200108,Värmdö 8 Herrviksnäs m.fl.,Värmdö,Stockholm,2026,2025,3.779690924547179,17.32882502113271,177,28,1183,75.174421,1988.903921,high_coverage,provisional
01200109,Värmdö 9 Torsby,Värmdö,Stockholm,2026,2025,6.118816865385868,21.892189218921892,161,38,909,99.57208,1627.309367,high_coverage,provisional
